x,y
0.0,41.875
25.0,31.875
50.0,36.25
75.0,54.375
100.0,43.75
125.0,20.0
150.0,42.5
175.0,40.625
200.0,52.5
225.0,30.625
250.0,27.5
275.0,21.875
300.0,35.625
325.0,30.0
350.0,30.0
375.0,30.0
400.0,30.0
425.0,30.0
450.0,31.25
475.0,30.0
500.0,30.0
525.0,30.0
550.0,48.125
575.0,48.125
600.0,48.75
625.0,48.75
650.0,48.75
675.0,50.0
700.0,51.25
725.0,49.375
750.0,49.375
775.0,50.0
800.0,50.0
825.0,50.0
850.0,49.375
875.0,48.125
900.0,48.125
925.0,47.5
950.0,48.125
975.0,48.75
1000.0,48.75
1025.0,48.125
1050.0,48.75
1075.0,48.125
1100.0,48.125
1125.0,48.75
1150.0,47.5
1175.0,46.875
1200.0,47.5
1225.0,48.125
1250.0,48.125
1275.0,50.0
1300.0,50.0
1325.0,50.0
1350.0,49.375
1375.0,48.125
1400.0,48.125
1425.0,49.375
1450.0,49.375
1475.0,47.5
1500.0,46.875
1525.0,47.5
1550.0,48.125
1575.0,48.125
1600.0,47.5
1625.0,48.125
1650.0,48.125
1675.0,47.5
1700.0,47.5
1725.0,48.125
1750.0,47.5
1775.0,46.875
1800.0,46.875
1825.0,47.5
1850.0,48.125
1875.0,48.125
1900.0,48.125
1925.0,47.5
1950.0,47.5
1975.0,47.5
2000.0,47.5
2025.0,48.125
2050.0,48.125
2075.0,48.75
2100.0,50.0
2125.0,50.0
2150.0,48.75
2175.0,47.5
2200.0,46.875
2225.0,46.875
2250.0,46.875
2275.0,46.25
2300.0,46.25
2325.0,46.875
2350.0,47.5
2375.0,47.5
2400.0,47.5
2425.0,47.5
2450.0,48.125
2475.0,48.125
2500.0,48.125
2525.0,48.75
2550.0,48.75
2575.0,48.125
2600.0,48.75
2625.0,49.375
2650.0,49.375
2675.0,49.375
2700.0,50.0
2725.0,50.0
2750.0,49.375
2775.0,48.75
2800.0,48.75
2825.0,49.375
2850.0,50.0
2875.0,50.0
2900.0,49.375
2925.0,49.375
2950.0,48.75
2975.0,48.75
3000.0,48.75
3025.0,48.75
3050.0,48.75
3075.0,48.75
3100.0,48.75
3125.0,48.125
3150.0,48.125
3175.0,48.125
3200.0,47.5
3225.0,48.125
3250.0,48.125
3275.0,48.125
3300.0,49.375
3325.0,50.0
3350.0,49.375
3375.0,48.125
3400.0,48.75
3425.0,48.75
3450.0,48.75
3475.0,48.75
3500.0,48.75
3525.0,48.75
3550.0,49.375
3575.0,48.125
3600.0,48.125
3625.0,50.0
3650.0,50.0
3675.0,49.375
3700.0,48.75
3725.0,49.375
3750.0,49.375
3775.0,49.375
3800.0,50.0
3825.0,49.375
3850.0,47.5
3875.0,47.5
3900.0,47.5
3925.0,46.875
3950.0,46.875
3975.0,46.875
4000.0,47.5
4025.0,47.5
4050.0,48.125
4075.0,48.125
4100.0,48.125
4125.0,48.125
4150.0,48.125
4175.0,48.75
4200.0,48.75
4225.0,50.0
4250.0,50.0
4275.0,47.5
4300.0,46.25
4325.0,47.5
4350.0,48.125
4375.0,48.125
4400.0,48.125
4425.0,48.125
4450.0,48.75
4475.0,48.75
4500.0,48.75
4525.0,49.375
4550.0,50.0
4575.0,50.0
4600.0,48.75
4625.0,48.125
4650.0,48.125
4675.0,48.125
4700.0,47.5
4725.0,46.875
4750.0,47.5
4775.0,47.5
4800.0,46.875
4825.0,46.875
4850.0,46.875
4875.0,46.875
4900.0,47.5
4925.0,48.125
4950.0,47.5
4975.0,47.5
5000.0,47.5
5025.0,48.125
5050.0,47.5
5075.0,48.125
5100.0,49.375
5125.0,49.375
5150.0,49.375
5175.0,49.375
5200.0,48.75
5225.0,48.75
5250.0,48.125
5275.0,48.125
5300.0,48.125
5325.0,47.5
5350.0,46.875
5375.0,46.875
5400.0,46.875
5425.0,47.5
5450.0,48.125
5475.0,48.125
5500.0,47.5
5525.0,46.875
5550.0,46.875
5575.0,46.875
5600.0,48.125
5625.0,48.125
5650.0,48.125
5675.0,48.125
5700.0,47.5
5725.0,47.5
5750.0,48.125
5775.0,48.125
5800.0,47.5
5825.0,48.125
5850.0,49.375
5875.0,49.375
5900.0,48.75
5925.0,48.75
5950.0,48.125
5975.0,48.125
6000.0,48.125
6025.0,48.125
6050.0,48.125
6075.0,48.75
6100.0,48.75
6125.0,49.375
6150.0,49.375
6175.0,48.125
6200.0,48.75
6225.0,49.375
6250.0,48.75
6275.0,48.125
6300.0,47.5
6325.0,47.5
6350.0,48.125
6375.0,48.125
6400.0,48.125
6425.0,48.75
6450.0,48.75
6475.0,49.375
6500.0,50.0
6525.0,48.75
6550.0,47.5
6575.0,47.5
6600.0,47.5
6625.0,47.5
6650.0,47.5
6675.0,48.125
6700.0,48.125
6725.0,48.125
6750.0,48.125
6775.0,48.125
6800.0,48.125
6825.0,48.125
6850.0,48.75
6875.0,48.75
6900.0,48.75
6925.0,48.125
6950.0,47.5
6975.0,47.5
7000.0,48.125
7025.0,48.75
7050.0,48.75
7075.0,48.125
7100.0,46.875
7125.0,46.875
7150.0,47.5
7175.0,46.875
7200.0,46.875
7225.0,46.875
7250.0,47.5
7275.0,48.125
7300.0,48.125
7325.0,47.5
7350.0,47.5
7375.0,46.875
7400.0,46.25
7425.0,46.25
7450.0,46.25
7475.0,45.625
7500.0,46.25
7525.0,46.25
7550.0,46.25
7575.0,46.25
7600.0,46.875
7625.0,48.75
7650.0,50.0
7675.0,50.0
7700.0,50.0
7725.0,50.0
7750.0,49.375
7775.0,49.375
7800.0,50.0
7825.0,50.0
7850.0,50.625
7875.0,51.25
7900.0,50.0
7925.0,48.75
7950.0,48.125
7975.0,48.125
8000.0,48.125
8025.0,48.125
8050.0,47.5
8075.0,47.5
8100.0,46.25
8125.0,46.25
8150.0,47.5
8175.0,47.5
8200.0,46.25
8225.0,47.5
8250.0,48.125
8275.0,49.375
8300.0,50.0
8325.0,48.75
8350.0,48.125
8375.0,48.75
8400.0,48.125
8425.0,48.125
8450.0,48.125
8475.0,48.75
8500.0,48.75
8525.0,48.125
8550.0,48.125
8575.0,48.125
8600.0,47.5
8625.0,47.5
8650.0,47.5
8675.0,46.875
8700.0,46.875
8725.0,46.875
8750.0,46.875
8775.0,46.25
8800.0,46.25
8825.0,46.25
8850.0,46.25
8875.0,47.5
8900.0,48.75
8925.0,48.75
8950.0,48.125
8975.0,47.5
9000.0,47.5
9025.0,48.75
9050.0,48.75
9075.0,48.75
9100.0,49.375
9125.0,49.375
9150.0,48.75
9175.0,49.375
9200.0,49.375
9225.0,48.75
9250.0,48.75
9275.0,48.125
9300.0,47.5
9325.0,48.125
9350.0,47.5
9375.0,48.125
9400.0,48.125
9425.0,48.75
9450.0,48.75
9475.0,48.125
9500.0,48.125
9525.0,47.5
9550.0,46.875
9575.0,46.25
9600.0,46.25
9625.0,46.875
9650.0,47.5
9675.0,47.5
9700.0,47.5
9725.0,47.5
9750.0,48.125
9775.0,48.125
9800.0,48.125
9825.0,48.75
9850.0,48.75
9875.0,48.75
9900.0,48.75
9925.0,48.75
9950.0,48.125
9975.0,46.875
10000.0,45.625
10025.0,46.25
10050.0,47.5
10075.0,46.875
10100.0,49.375
10125.0,50.0
10150.0,47.5
10175.0,46.875
10200.0,48.125
10225.0,47.5
10250.0,47.5
10275.0,48.125
10300.0,48.125
10325.0,48.125
10350.0,48.125
10375.0,48.125
10400.0,48.125
10425.0,48.125
10450.0,48.125
10475.0,48.125
10500.0,48.125
10525.0,48.125
10550.0,48.125
10575.0,48.125
10600.0,48.125
10625.0,47.5
10650.0,46.25
10675.0,46.25
10700.0,46.875
10725.0,46.875
10750.0,46.875
10775.0,46.875
10800.0,46.25
10825.0,46.25
10850.0,46.25
10875.0,46.25
10900.0,46.875
10925.0,46.875
10950.0,46.875
10975.0,46.875
11000.0,46.875
11025.0,47.5
11050.0,47.5
11075.0,46.875
11100.0,47.5
11125.0,47.5
11150.0,46.875
11175.0,46.875
11200.0,47.5
11225.0,48.125
11250.0,48.75
11275.0,48.75
11300.0,48.75
11325.0,49.375
11350.0,48.75
11375.0,48.75
11400.0,48.125
11425.0,47.5
11450.0,47.5
11475.0,47.5
11500.0,48.125
11525.0,48.75
11550.0,48.125
11575.0,46.875
11600.0,46.875
11625.0,47.5
11650.0,47.5
11675.0,48.125
11700.0,47.5
11725.0,47.5
11750.0,46.875
11775.0,46.875
11800.0,46.875
11825.0,46.875
11850.0,46.875
11875.0,46.875
11900.0,46.875
11925.0,47.5
11950.0,47.5
11975.0,47.5
12000.0,47.5
12025.0,47.5
12050.0,46.875
12075.0,47.5
12100.0,47.5
12125.0,46.25
12150.0,46.25
12175.0,46.875
12200.0,46.875
12225.0,46.875
12250.0,46.875
12275.0,47.5
12300.0,46.875
12325.0,46.875
12350.0,46.875
12375.0,46.875
12400.0,46.875
12425.0,46.875
12450.0,46.25
12475.0,46.25
12500.0,46.25
12525.0,46.875
12550.0,47.5
12575.0,47.5
12600.0,47.5
12625.0,48.75
12650.0,48.75
12675.0,48.75
12700.0,48.75
12725.0,48.75
12750.0,48.75
12775.0,48.75
12800.0,48.75
12825.0,48.75
12850.0,48.75
12875.0,48.125
12900.0,47.5
12925.0,47.5
12950.0,47.5
12975.0,47.5
13000.0,47.5
13025.0,46.25
13050.0,46.25
13075.0,46.25
13100.0,46.25
13125.0,46.25
13150.0,46.25
13175.0,46.875
13200.0,46.875
13225.0,46.25
13250.0,46.875
13275.0,46.875
13300.0,46.875
13325.0,46.875
13350.0,46.875
13375.0,46.875
13400.0,46.875
13425.0,46.875
13450.0,46.875
13475.0,47.5
13500.0,47.5
13525.0,47.5
13550.0,48.125
13575.0,47.5
13600.0,46.25
13625.0,46.25
13650.0,47.5
13675.0,48.75
13700.0,49.375
13725.0,48.75
13750.0,48.125
13775.0,47.5
13800.0,47.5
13825.0,48.75
13850.0,48.75
13875.0,48.75
13900.0,48.75
13925.0,48.75
13950.0,48.75
13975.0,48.75
14000.0,48.125
14025.0,47.5
14050.0,47.5
14075.0,48.125
14100.0,48.75
14125.0,48.75
14150.0,48.75
14175.0,48.75
14200.0,48.75
14225.0,48.75
14250.0,47.5
14275.0,46.875
14300.0,47.5
14325.0,47.5
14350.0,47.5
14375.0,46.875
14400.0,46.875
14425.0,46.875
14450.0,46.875
14475.0,46.875
14500.0,47.5
14525.0,47.5
14550.0,48.125
14575.0,48.125
14600.0,48.125
14625.0,48.125
14650.0,48.125
14675.0,48.125
14700.0,48.125
14725.0,48.125
14750.0,48.125
14775.0,48.125
14800.0,48.125
14825.0,47.5
14850.0,48.125
14875.0,48.125
14900.0,47.5
14925.0,48.75
14950.0,49.375
14975.0,48.75
15000.0,47.5
15025.0,47.5
15050.0,47.5
15075.0,47.5
15100.0,46.875
15125.0,46.875
15150.0,47.5
15175.0,47.5
15200.0,46.25
15225.0,47.5
15250.0,48.125
