#
# Version to read with FileManager
#
event_count chip_id(decimal) hit_x hit_y
0 112 720 411
0 368 608 388
0 368 608 389
0 369 326 102
0 369 326 102
0 370 8 472
0 370 975 230
0 372 978 278
0 376 361 300
0 376 361 300
0 378 537 289
0 378 537 289
0 379 175 381
0 379 175 381
0 379 176 381
0 379 176 381
0 624 494 366
0 624 495 366
0 635 350 278
0 635 350 278
1 122 78 456
1 122 79 456
1 370 8 472
1 372 978 278
1 378 79 449
1 378 79 450
1 634 79 442
1 634 79 443
1 634 78 443
1 635 436 7
1 635 437 8
1 635 436 22
1 635 436 31
1 635 436 34
1 635 436 38
1 635 436 42
1 635 437 44
1 635 436 48
1 635 436 49
1 635 437 51
1 635 437 117
1 635 436 125
1 635 436 127
1 635 436 146
1 635 436 167
1 635 436 176
1 635 437 178
1 635 437 189
1 635 436 190
1 635 436 193
1 635 436 208
1 635 436 250
1 635 436 276
1 635 436 291
1 635 437 315
2 113 435 52
2 113 435 53
2 113 436 52
2 113 436 53
2 370 8 472
2 372 978 278
2 380 741 324
2 380 741 324
2 635 163 47
2 635 164 46
2 635 164 47
2 635 436 7
2 635 437 8
2 635 436 22
2 635 436 31
2 635 436 34
2 635 436 38
2 635 436 42
2 635 437 44
2 635 436 48
2 635 436 49
2 635 437 51
2 635 437 117
2 635 436 125
2 635 436 127
2 635 436 146
2 635 436 167
2 635 436 176
2 635 437 178
2 635 437 189
2 635 436 190
2 635 436 193
2 635 436 208
2 635 436 250
2 635 436 276
2 635 436 291
2 635 437 315
3 370 8 472
3 372 978 278
4 124 815 227
4 370 8 472
4 372 978 278
4 380 788 172
4 380 789 172
4 380 789 173
4 380 788 173
4 636 761 118
5 121 1016 178
5 121 1017 178
5 121 1016 179
5 370 8 472
5 370 975 230
5 372 978 278
5 377 749 186
5 377 749 187
5 377 748 187
5 377 749 188
5 377 750 187
5 624 711 310
5 633 479 195
6 116 924 370
6 370 8 472
6 372 975 339
6 372 975 340
6 372 976 339
6 372 978 278
7 113 394 62
7 113 395 62
7 113 395 63
7 369 405 10
7 370 8 472
7 372 978 278
7 372 1021 63
7 635 608 35
7 636 570 77
8 122 500 145
8 122 500 146
8 370 8 472
8 372 978 278
8 378 620 154
8 634 741 162
8 634 741 163
9 370 8 472
9 372 978 278
10 112 596 418
10 112 597 418
10 112 597 419
10 112 596 419
10 122 789 482
10 368 573 393
10 368 572 393
10 368 572 394
10 370 8 472
10 372 978 278
10 624 548 368
11 370 8 472
11 370 366 317
11 370 975 230
11 372 978 278
12 121 875 183
12 370 8 472
12 371 178 87
12 372 978 278
13 112 269 411
13 116 17 253
13 368 262 467
13 370 8 472
13 370 366 317
13 372 978 278
14 115 885 11
14 115 884 11
14 115 884 12
14 115 885 12
14 116 17 253
14 121 875 183
14 370 8 472
14 372 2 68
14 372 3 68
14 372 3 69
14 372 2 69
14 372 978 278
14 628 151 126
14 628 152 126
15 121 875 183
15 124 626 80
15 124 627 80
15 124 627 81
15 370 8 472
15 370 258 81
15 372 978 278
15 380 638 44
15 636 648 8
16 113 122 112
16 113 123 112
16 113 123 113
16 113 122 113
16 369 27 89
16 369 27 90
16 369 28 89
16 369 28 90
16 370 8 472
16 370 366 317
16 372 978 278
16 624 963 66
16 624 963 67
16 624 964 66
16 624 964 67
17 115 590 286
17 115 591 286
17 370 8 472
17 371 641 294
17 371 641 295
17 371 640 295
17 372 978 278
17 627 691 304
17 627 691 305
17 627 692 304
18 370 8 472
18 372 978 278
19 121 875 183
19 370 8 472
19 372 978 278
19 377 54 414
19 380 782 198
20 370 8 472
20 372 978 278
21 116 17 253
21 123 410 315
21 123 410 316
21 370 8 472
21 372 978 278
21 379 241 365
21 379 240 365
21 379 240 366
21 379 241 366
21 635 69 416
22 123 587 466
22 123 587 467
22 123 588 466
22 123 588 467
22 370 8 472
22 372 978 278
22 379 518 468
22 635 447 470
23 112 827 127
23 112 826 127
23 368 881 124
23 368 881 125
23 368 882 124
23 368 882 125
23 370 8 472
23 372 978 278
23 624 936 122
24 122 789 482
24 124 25 101
24 124 26 101
24 370 8 472
24 372 978 278
24 379 1012 32
24 379 1012 33
24 625 57 27
24 625 57 28
25 124 924 394
25 370 8 472
25 372 978 278
25 380 1001 402
25 380 1002 402
25 380 1002 403
26 112 1000 135
26 369 28 247
26 370 8 472
26 372 978 278
26 625 89 360
27 121 875 183
27 123 748 241
27 123 748 242
27 123 749 242
27 370 8 472
27 372 978 278
27 372 1021 63
27 379 599 247
27 379 598 247
27 379 598 248
27 635 447 251
27 635 446 251
27 635 446 252
27 635 447 252
27 635 447 253
27 635 448 252
28 122 628 112
28 122 629 112
28 122 629 113
28 122 628 113
28 370 8 472
28 372 978 278
28 378 598 112
28 378 599 112
28 634 568 112
29 122 613 53
29 122 613 54
29 370 8 472
29 370 402 29
29 370 402 30
29 372 978 278
29 626 395 122
