V,V_err,C,C_err
0.,0.1,326.8,0.2
-1.,0.1,251.5,0.2
-2.,0.1,222.3,0.2
-3.,0.1,204.2,0.2
-4.,0.1,191.2,0.2
-5.,0.1,181.1,0.2
-6.,0.1,172.9,0.2
-7.,0.1,165.9,0.2
-8.,0.1,159.8,0.2
-9.,0.1,154.2,0.2
-10.,0.1,149.3,0.2
-11.,0.1,144.7,0.2
-12.,0.1,140.4,0.2
-13.,0.1,136.3,0.2
-14.,0.1,132.4,0.2
-15.,0.1,128.6,0.2
-16.,0.1,124.8,0.2
-17.,0.1,121.0,0.2
-18.,0.1,117.1,0.2
-19.,0.1,113.1,0.2
-20.,0.1,108.5,0.2
-21.,0.1,103.4,0.2
-21.3,0.1,101.7,0.2
-21.6,0.1,99.8,0.2
-21.8,0.1,98.4,0.2
-22.,0.1,96.9,0.2
-22.1,0.1,96.1,0.2
-22.2,0.1,95.2,0.2
-22.3,0.1,94.4,0.2
-22.4,0.1,93.6,0.2
-22.5,0.1,92.5,0.2
-22.6,0.1,91.5,0.2
-22.7,0.1,90.3,0.2
-22.8,0.1,89.1,0.2
-22.9,0.1,87.9,0.2
-23.,0.1,86.3,0.2
-23.5,0.1,74.5,0.2
-24.,0.1,40.4,0.2
-23.1,0.1,84.9,0.2
-23.2,0.1,82.7,0.2
-23.3,0.1,80.6,0.2
-23.4,0.1,78.2,0.2
-23.5,0.1,74.6,0.2
-23.6,0.1,70.7,0.2
-23.7,0.1,64.5,0.2
-23.8,0.1,57.8,0.2
-23.9,0.1,50.3,0.2
-24.1,0.1,32.3,0.2
-24.2,0.1,23.4,0.2
-24.3,0.1,17.0,0.2
-24.4,0.1,11.3,0.2
-24.5,0.1,8.2,0.2
-24.6,0.1,6.4,0.2
-24.7,0.1,5.4,0.2
-24.8,0.1,4.9,0.2
-24.9,0.1,4.5,0.2
-25,0.1,4.3,0.2
-25.2,0.1,3.9,0.2
-25.4,0.1,3.6,0.2
-25.7,0.1,3.4,0.2
-26,0.1,3.1,0.2
-26.5,0.1,2.9,0.2
-27,0.1,2.8,0.2
-28,0.1,2.7,0.2
-29,0.1,2.6,0.2
-30,0.1,2.6,0.2
-32,0.1,2.5,0.2
-34,0.1,2.6,0.2
-37,0.1,2.5,0.2
-40,0.1,2.4,0.2
-45,0.1,2.5,0.2
-50,0.1,2.2,0.2

