V,V_err,C,C_err
0,0.05,0.5137848197355232,0.01
10,0.23,0.5362753205041969,0.02
20,0.11,0.5597136548090932,0.03
30,0.32,0.5840851061561014,0.04
40,0.04,0.6093738454703071,0.05
50,0.18,0.635559048440089,0.06
60,0.08,0.6626150762993109,0.07
70,0.29,0.690509639396291,0.08
80,0.15,0.7192079005883662,0.09
90,0.19,0.7486718154790624,0.1
100,0.13,0.778860348317481,0.11
110,0.24,0.809729767433303,0.12
120,0.02,0.841234075444456,0.13
130,0.26,0.8733244901984705,0.14
140,0.09,0.9059487939838196,0.15
150,0.33,0.9390517743587446,0.16
160,0.03,0.9725754958499739,0.17
170,0.21,1.0064585292876888,0.18
180,0.14,1.0406362631698912,0.19
190,0.07,1.0750410455290673,0.2
200,0.22,1.1095983153092714,0.21
210,0.28,1.1442277532427436,0.22
220,0.06,1.178842340239013,0.23
230,0.27,1.213347439026145,0.24
240,0.12,1.2476427867744554,0.25
250,0.31,1.2816225133589746,0.26
260,0.01,1.3151770484985615,0.27
270,0.16,1.3481930471400126,0.28
280,0.25,1.3805532034653195,0.29
290,0.1,1.4121391067250467,0.3
300,0.17,1.4428282140132563,0.31
