f (kHz),Err_f (kHz),C (pF),Err_C (pF), R(MO), ERr_R(MO), I(uA), Err_I(uA)
0.8,   0.0001, 16,      1,     2.5,  0.1,   0.121, 0.001
0.9,   0.0001, 17,      1,     2.5,  0.1,   0.121, 0.001
1,     0.001,  17,      1,     2.5,  0.1,   0.123, 0.001
1.1,   0.001,  16.8,    0.1,   2.44, 0.01,  0.125, 0.001
1.2,   0.001,  16.6,    0.1,   2.48, 0.01,  0.124, 0.001
1.4,   0.001,  16.6,    0.1,   2.44, 0.01,  0.126, 0.001
1.6,   0.001,  16.3,    0.1,   2.43, 0.01,  0.130, 0.001
1.8,   0.001,  16.1,    0.1,   2.41, 0.01,  0.134, 0.001
2,     0.001,  16.5,    0.1,   2.35, 0,     0.141, 0.001
5,     0.001,  15.7,    0.1,   2.09, 0,     0.202, 0.001
10,    0.01,   14.6,    0.1,   1.67, 0,     0.320, 0.001
20,    0.01,   13.7,    0.1,   1.40, 0,     0.556, 0.001
30,    0.01,   13.20,   0.1,   1.17, 0,     0.78,  0.01
40,    0.01,   13.0,    0.1,   1.0,  0,     1.01,  0.01
50,    0.01,   12.92,   0.1,   0.86, 0,     1.23,  0.01
60,    0.01,   12.5,    0.1,   0.77, 0,     1.44,  0.01
70,    0.01,   12.40,   0.1,   0.72, 0,     1.75,  0.01
80,    0.01,   12.32,   0.1,   0.65, 0,     1.87,  0.01
90,    0.01,   12.1,    0.1,   0.61, 2.08,  0.01
100,   0.1,    12.0,    0.1,   0.58, 2.26,  0.01
200,   0.1,    11.2,    0.1,   0.37, 4.2,   0.01
300,   0.1,    10.80,   0.1,   0.26, 0,     6.0,   0.01
400,   0.1,    10.4,    0.1,   0.21, 0,     7.65,  0.01
500,   0.1,    10.04,   0.01,  0.19, 0,     9.11,  0.01
