V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
0.0,0.1,326.8,0.5,239.2,0.6,1.747743313833179e-05,2.8651928348218455e-08,1.747743313833179e+19,2.8651928348218456e+16,3.9501004006174035e-15,3.9501004006174035e-15,inf,1.2484360454153823e-13,inf,3.050942130950082e+55,inf,5.0431869972962906e-24,inf
-1.0,0.1,251.5,0.5,239.2,1.6,1.747743313833179e-05,6.286168699379203e-08,1.747743313833179e+19,6.286168699379203e+16,1.2879370494215563e-13,1.2879370494215563e-13,,2.0976954328758165e-12,,9.357233522507228e+53,,4.702542063862229e-23,
-2.0,0.1,222.3,0.5,239.2,2.6,1.747743313833179e-05,9.102938568782565e-08,1.747743313833179e+19,9.102938568782565e+16,4.199340966152251e-12,4.199340966152251e-12,,6.839572143484944e-11,,2.869861683265254e+52,,3.4229662944648047e-22,
-3.0,0.1,204.2,0.5,210.06,3.6,2.2662784948600213e-05,1.1744452797339386e-07,2.2662784948600214e+19,1.1744452797339386e+17,1.3692023657464104e-10,1.3692023657464104e-10,6.644451325385462e-28,2.2300542954323433e-09,2.362645810846811e-10,8.801860145163156e+50,1.5188169784013355e+51,2.299907927491475e-21,1.984575832080189e-21
-4.0,0.1,191.2,0.5,194.34,4.6,2.6477416262549804e-05,1.4306596750244417e-07,2.6477416262549803e+19,1.4306596750244418e+17,4.464307931830839e-09,4.464307931830839e-09,2.2823612532030513e-26,7.271130498000546e-08,7.970659108381966e-09,2.6995287775285775e+49,4.819789308333651e+49,1.4845039815483535e-20,1.3253288562809914e-20
-5.0,0.1,181.1,0.5,183.06,5.6,2.9840980162086415e-05,1.6836222209323693e-07,2.9840980162086416e+19,1.6836222209323693e+17,1.4555953019658555e-07,1.4555953019658555e-07,7.850405873396881e-25,2.370764641346887e-06,2.7143041477686385e-07,8.279449457861148e+47,1.5439005590607818e+48,9.352758393027747e-20,8.72062270590933e-20
-6.0,0.1,172.9,0.5,174.18,6.6,3.296123135566077e-05,1.9347061856100553e-07,3.2961231355660767e+19,1.9347061856100554e+17,4.745993590625605e-06,4.745993590625605e-06,2.6341227320349764e-23,7.729919008063212e-05,9.258695807135078e-06,2.539305522352767e+46,4.953790380012586e+46,5.797769174091316e-19,5.655443807074073e-19
-7.0,0.1,165.9,0.5,166.78,7.6,3.5951089893960245e-05,2.1900843506585585e-07,3.5951089893960245e+19,2.1900843506585584e+17,0.00015474393969146084,0.00015474393969146084,8.776877997320593e-22,0.002520353426448721,0.00031697119568092273,7.788045048972907e+44,1.595271489217523e+45,3.552540194004197e-18,3.638514526479219e-18
-8.0,0.1,159.8,0.5,160.42000000000002,8.6,3.885822655312872e-05,2.450584459394373e-07,3.885822655312872e+19,2.4505844593943728e+17,0.005045452846488068,0.005045452846488068,2.860155989064294e-20,0.08217655822248247,0.010800773242688745,2.388591886675744e+43,5.113245554414046e+43,2.1578670368401583e-17,2.3097011397154354e-17
-9.0,0.1,154.2,0.5,154.78,9.6,4.174171757917874e-05,2.727387707987833e-07,4.174171757917874e+19,2.7273877079878326e+17,0.1645078603846564,0.1645078603846564,9.248332676478785e-19,2.6793808560448684,0.36798745925491777,7.325806624405212e+41,1.638708910567751e+42,1.3018301422181317e-16,1.4560470226457724e-16
-10.0,0.1,149.3,0.5,149.68,10.6,4.463468261955452e-05,3.0048346374038707e-07,4.463468261955452e+19,3.004834637403871e+17,5.363807164936225,5.363807164936225,2.949145837786849e-17,87.36167499620167,12.44388487783746,2.246823452660369e+40,5.212568521945242e+40,7.811148422217658e-16,9.060899504877467e-16
-11.0,0.1,144.7,0.5,144.98,11.6,4.757554906798453e-05,3.3006114858395644e-07,4.757554906798453e+19,3.300611485839564e+17,174.887857852788,174.887857852788,9.430035050847115e-16,2848.442482868209,421.9147707035237,6.891003115762798e+38,1.6624458868674855e+39,4.665886854190969e-15,5.628232785357786e-15
-12.0,0.1,140.4,0.5,140.62,12.6,5.0571497366003784e-05,3.613255534912015e-07,5.0571497366003786e+19,3.613255534912015e+17,5702.248772901355,5702.248772901355,2.930994713723665e-14,92873.9585013811,14085.91459923307,2.1134693019705825e+37,5.2207732916063285e+37,2.7767305096204756e-14,3.42961104030447e-14
-13.0,0.1,136.3,0.5,136.48,13.6,5.368611438286223e-05,3.94923004600584e-07,5.368611438286223e+19,3.94923004600584e+17,185922.804860615,185922.804860615,9.047938574713302e-13,3028171.437406493,468378.69112304866,6.482006197551387e+35,1.632953838522768e+36,1.6472562532378425e-13,2.0749015023083046e-13
-14.0,0.1,132.4,0.5,132.5,14.6,5.695977216091136e-05,4.308598686253799e-07,5.695977216091136e+19,4.308598686253799e+17,6062045.123585887,6062045.123585887,2.7515490267157343e-11,98734052.06678715,15428310.181183426,1.9880300274963285e+34,5.059669350593115e+34,9.745663000892085e-13,1.2401726903206975e-12
