       V  V_err      C  C_err  C_mobile  V_abs      1_C2      1_C2_err        1_C2_F    1_C2_err_F    derivative  derivative2_C  derivative2_V  derivative_err            NB        NB_err             W         W_err
0    0.0    0.1  326.8    0.5    239.20    0.6  0.000017  2.865193e-08  1.747743e+19  2.865193e+16  0.000000e+00            NaN   0.000000e+00             NaN           inf           NaN  0.000000e+00           NaN
1   -1.0    0.1  251.5    0.5    239.20    1.6  0.000017  6.286169e-08  1.747743e+19  6.286169e+16  0.000000e+00            NaN   1.296338e+18             NaN           inf           NaN  0.000000e+00           NaN
2   -2.0    0.1  222.3    0.5    239.20    2.6  0.000017  9.102939e-08  1.747743e+19  9.102939e+16  2.592676e+18            NaN   2.249996e+18             NaN  4.648297e+22           NaN  2.689591e-07           NaN
3   -3.0    0.1  204.2    0.5    210.06    3.6  0.000023  1.174445e-07  2.266278e+19  1.174445e+17  4.499992e+18       0.018324   4.982109e+17    4.986755e+16  2.678122e+22  2.967814e+20  4.169486e-07  6.234772e-09
4   -4.0    0.1  191.2    0.5    194.34    4.6  0.000026  1.430660e-07  2.647742e+19  1.430660e+17  3.589098e+18      -0.166746  -6.290420e+17    6.727578e+16  3.357816e+22  6.294051e+20  4.209174e-07  6.041102e-09
5   -5.0    0.1  181.1    0.5    183.06    5.6  0.000030  1.683622e-07  2.984098e+19  1.683622e+17  3.241908e+18      -0.080739  -2.670214e+17    2.996307e+16  3.717419e+22  3.435795e+20  4.413872e-07  4.437532e-09
6   -6.0    0.1  172.9    0.5    174.18    6.6  0.000033  1.934706e-07  3.296123e+19  1.934706e+17  3.055055e+18      -0.047503  -1.467050e+17    1.731149e+16  3.944783e+22  2.235314e+20  4.651648e-07  3.762359e-09
7   -7.0    0.1  165.9    0.5    166.78    7.6  0.000036  2.190084e-07  3.595109e+19  2.190084e+17  2.948498e+18      -0.026845  -7.987051e+16    9.917637e+15  4.087345e+22  1.374829e+20  4.903798e-07  3.329929e-09
8   -8.0    0.1  159.8    0.5    160.42    8.6  0.000039  2.450584e-07  3.885823e+19  2.450584e+17  2.895314e+18      -0.010343  -3.013478e+16    3.937768e+15  4.162425e+22  5.661101e+19  5.169189e-07  3.025830e-09
9   -9.0    0.1  154.2    0.5    154.78    9.6  0.000042  2.727388e-07  4.174172e+19  2.727388e+17  2.888228e+18       0.003719   1.080095e+16    1.481768e+15  4.172637e+22  2.140717e+19  5.454774e-07  2.844472e-09
10 -10.0    0.1  149.3    0.5    149.68   10.6  0.000045  3.004835e-07  4.463468e+19  3.004835e+17  2.916916e+18       0.013682   4.008967e+16    5.742186e+15  4.131600e+22  8.133390e+19  5.760236e-07  2.775617e-09
11 -11.0    0.1  144.7    0.5    144.98   11.6  0.000048  3.300611e-07  4.757555e+19  3.300611e+17  2.968407e+18       0.023200   6.918346e+16    1.031986e+16  4.059931e+22  1.411461e+20  6.078776e-07  2.825205e-09
12 -12.0    0.1  140.4    0.5    140.62   12.6  0.000051  3.613256e-07  5.057150e+19  3.613256e+17  3.055283e+18       0.036638   1.128650e+17    1.739652e+16  3.944489e+22  2.245959e+20  6.427415e-07  3.139068e-09
13 -13.0    0.1  136.3    0.5    136.48   13.6  0.000054  3.949230e-07  5.368611e+19  3.949230e+17  3.194137e+18       0.050678   1.628667e+17    2.580333e+16  3.773015e+22  3.047970e+20  6.827656e-07  3.729134e-09
14 -14.0    0.1  132.4    0.5    132.50   14.6  0.000057  4.308599e-07  5.695977e+19  4.308599e+17  3.381016e+18       0.064427   2.194573e+17    3.538617e+16  3.564469e+22  3.730622e+20  7.278224e-07  4.551846e-09
15 -15.0    0.1  128.6    0.5    128.62   15.6  0.000060  4.701940e-07  6.044815e+19  4.701940e+17  3.633052e+18       0.080613   2.953930e+17    4.805497e+16  3.317191e+22  4.387702e+20  7.798723e-07  5.731520e-09
16 -16.0    0.1  124.8    0.5    124.78   16.6  0.000064  5.144655e-07  6.422588e+19  5.144655e+17  3.971802e+18       0.104499   4.211023e+17    6.829020e+16  3.034272e+22  5.217053e+20  8.411496e-07  7.662256e-09
17 -17.0    0.1  121.0    0.5    120.92   17.6  0.000068  5.644739e-07  6.839175e+19  5.644739e+17  4.475257e+18       0.137648   6.271750e+17    9.985278e+16  2.692924e+22  6.008504e+20  9.193708e-07  1.058392e-08
18 -18.0    0.1  117.1    0.5    116.90   18.6  0.000073  6.227723e-07  7.317639e+19  6.227723e+17  5.226152e+18       0.121895   6.032431e+17    9.696289e+16  2.306004e+22  4.278421e+20  1.021346e-06  9.864501e-09
19 -19.0    0.1  113.1    0.5    112.62   19.6  0.000079  6.912135e-07  7.884406e+19  6.912135e+17  5.681743e+18       0.039386   2.226246e+17    3.516781e+16  2.121097e+22  1.312878e+20  1.093186e-06  4.384419e-09
20 -20.0    0.1  108.5    0.5    108.76   20.6  0.000085  7.829081e-07  8.453988e+19  7.829081e+17  5.671401e+18       0.808876   4.548041e+18    7.796698e+17  2.124965e+22  2.921272e+21  1.119706e-06  7.701319e-08
21 -21.0    0.1  103.4    0.5    105.30   21.6  0.000090  9.045621e-07  9.018686e+19  9.045621e+17  1.477782e+19       0.919671   5.804454e+18    1.014383e+18  8.155144e+21  5.597875e+20  1.850792e-06  6.366557e-08
22 -21.3    0.1  101.7    0.5    102.36   21.9  0.000095  9.506861e-07  9.544198e+19  9.506861e+17  1.622198e+19      -0.031076   2.296028e+17    3.741686e+16  7.429133e+21  1.713569e+19  1.952538e-06  4.994305e-09
23 -21.6    0.1   99.8    0.2    100.04   22.2  0.000100  4.024096e-07  9.992005e+19  4.024096e+17  1.491559e+19      -0.225325  -3.361848e+18    3.481978e+17  8.079822e+21  1.886199e+20  1.885046e-06  2.240866e-08
24 -21.8    0.1   98.4    0.2     98.58   22.4  0.000103  4.198312e-07  1.029017e+20  4.198312e+17  1.437559e+19       1.063691   1.401292e+19    1.470730e+18  8.383327e+21  8.576766e+20  1.858927e-06  9.518149e-08
25 -22.0    0.1   96.9    0.2     97.28   22.6  0.000106  4.396314e-07  1.056703e+20  4.396314e+17  2.052076e+19       1.557721   2.594710e+19    2.683561e+18  5.872848e+21  7.680101e+20  2.230880e-06  1.459530e-07
26 -22.1    0.1   96.1    0.2     96.20   22.7  0.000108  4.507024e-07  1.080562e+20  4.507024e+17  2.287653e+19       0.091269   3.777099e+18    3.799433e+17  5.268075e+21  8.749447e+19  2.360660e-06  2.028130e-08
27 -22.2    0.1   95.2    0.2     95.24   22.8  0.000110  4.636061e-07  1.102456e+20  4.636061e+17  2.127618e+19      -0.313600  -7.172977e+18    7.318834e+17  5.664330e+21  1.948484e+20  2.281600e-06  3.956031e-08
