V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
0.4,0.1,66.0,1.0,40.3,0.19999999999999996,0.0006157294238619783,6.956618526866461e-06,6.157294238619782e+20,6.956618526866461e+18,9.784078099271695e+21,9.784078099271695e+21,inf,1.808984967226188e+22,inf,1.2317489303998425e+19,inf,4.582477408437202e-06,inf
0.3,0.1,54.0,1.0,40.3,0.3,0.0006157294238619783,1.2701315856322714e-05,6.157294238619782e+20,1.2701315856322714e+19,1.1593063066497884e+22,1.1593063066497884e+22,,1.951871500926519e+22,,1.039546465381823e+19,,6.1092107314736845e-06,
0.2,0.1,39.0,1.0,40.3,0.39999999999999997,0.0006157294238619783,3.3716010047370996e-05,6.157294238619782e+20,3.3716010047370998e+19,1.3687821101124735e+22,1.3687821101124735e+22,,2.250207517382054e+22,,8.804562570397823e+18,,7.665183132328492e-06,
0.1,0.1,27.8,0.1,29.139999999999997,0.5,0.0011776626599442543,9.308840904089523e-06,1.1776626599442543e+21,9.308840904089522e+18,1.609347810126199e+22,1.609347810126199e+22,3.61488109757253,2.570549454227402e+22,2.5707696985314474e+21,7.488454427251123e+18,1.1962045500221148e+18,9.292559236852168e-06,1.1892734983722587e-06
0.0,0.1,14.7,0.1,19.72,0.6,0.0025714979284012693,6.296192409121546e-05,2.5714979284012693e+21,6.296192409121546e+19,1.882892000957954e+22,1.882892000957954e+22,1.657619455363791,2.904609032237092e+22,2.906483456364958e+21,6.400541150312929e+18,9.880049920921132e+17,1.1010669066423354e-05,1.2506398257465868e-06
-0.1,0.1,10.2,0.1,13.12,0.7,0.005809414039262345,0.00018846446690940893,5.809414039262345e+21,1.8846446690940892e+20,2.1902696165736175e+22,2.1902696165736175e+22,0.8007264796324682,3.2395578854813123e+22,3.243070869634812e+21,5.50230329751797e+18,8.147106367658609e+17,1.2826943705668564e-05,1.3195561881171653e-06
-0.2,0.1,6.9,0.1,8.72,0.8,0.01315124989479,0.0006088113263259149,1.315124989479e+22,6.088113263259149e+20,2.530803578054217e+22,2.530803578054217e+22,0.4610646777653127,3.557276240623619e+22,3.568333998792736e+21,4.761937211655174e+18,6.714145103876338e+17,1.47400715886383e-05,1.3887169036440118e-06
-0.3,0.1,6.0,0.1,6.859999999999999,0.8999999999999999,0.02124964938078522,0.000925925925925926,2.124964938078522e+22,9.25925925925926e+20,2.901724864698341e+22,2.901724864698341e+22,0.47555682096426755,3.834026538095727e+22,3.859229242606305e+21,4.153228957142804e+18,5.523701725701369e+17,1.674074378786065e-05,1.4506143020008482e-06
-0.4,0.1,5.8,0.1,5.843999999999999,1.0,0.029280573955468236,0.0010250522776661612,2.9280573955468234e+22,1.0250522776661611e+21,3.2976088856733623e+22,3.2976088856733623e+22,0.73740034475437,4.040891795554633e+22,4.110979428375912e+21,3.6546261705215985e+18,4.556056684190628e+17,1.881156604802132e-05,1.503204158028872e-06
-0.5,0.1,5.4,0.1,5.426,1.1,0.03396568840502426,0.0012701315856322713,3.3965688405024257e+22,1.2701315856322713e+21,3.709903223809268e+22,3.709903223809268e+22,0.9806307427008116,4.145343106362394e+22,4.328419417063873e+21,3.2484749619296333e+18,3.790061695093137e+17,2.0926809089908104e-05,1.547622973456485e-06
