       V  V_err      C  C_err  C_mobile  V_abs      1_C2  1_C2_err        1_C2_F    1_C2_err_F  derivative_sigmoid    derivative  derivative2_C  derivative2_V  derivative_err            NB        NB_err             W         W_err
0    0.4    0.1  66.00   1.00    40.300    0.2  0.000616  0.000007  6.157294e+20  6.956619e+18        9.784078e+21  9.784078e+21            inf   1.808985e+22             inf  1.231749e+19           inf  4.582477e-06           inf
1    0.3    0.1  54.00   1.00    40.300    0.3  0.000616  0.000013  6.157294e+20  1.270132e+19        1.159306e+22  1.159306e+22            NaN   1.951872e+22             NaN  1.039546e+19           NaN  6.109211e-06           NaN
2    0.2    0.1  39.00   1.00    40.300    0.4  0.000616  0.000034  6.157294e+20  3.371601e+19        1.368782e+22  1.368782e+22            NaN   2.250208e+22             NaN  8.804563e+18           NaN  7.665183e-06           NaN
3    0.1    0.1  27.80   0.10    29.140    0.5  0.001178  0.000009  1.177663e+21  9.308841e+18        1.609348e+22  1.609348e+22       3.614881   2.570549e+22    2.570770e+21  7.488454e+18  1.196205e+18  9.292559e-06  1.189273e-06
4    0.0    0.1  14.70   0.10    19.720    0.6  0.002571  0.000063  2.571498e+21  6.296192e+19        1.882892e+22  1.882892e+22       1.657619   2.904609e+22    2.906483e+21  6.400541e+18  9.880050e+17  1.101067e-05  1.250640e-06
5   -0.1    0.1  10.20   0.10    13.120    0.7  0.005809  0.000188  5.809414e+21  1.884645e+20        2.190270e+22  2.190270e+22       0.800726   3.239558e+22    3.243071e+21  5.502303e+18  8.147106e+17  1.282694e-05  1.319556e-06
6   -0.2    0.1   6.90   0.10     8.720    0.8  0.013151  0.000609  1.315125e+22  6.088113e+20        2.530804e+22  2.530804e+22       0.461065   3.557276e+22    3.568334e+21  4.761937e+18  6.714145e+17  1.474007e-05  1.388717e-06
7   -0.3    0.1   6.00   0.10     6.860    0.9  0.021250  0.000926  2.124965e+22  9.259259e+20        2.901725e+22  2.901725e+22       0.475557   3.834027e+22    3.859229e+21  4.153229e+18  5.523702e+17  1.674074e-05  1.450614e-06
8   -0.4    0.1   5.80   0.10     5.844    1.0  0.029281  0.001025  2.928057e+22  1.025052e+21        3.297609e+22  3.297609e+22       0.737400   4.040892e+22    4.110979e+21  3.654626e+18  4.556057e+17  1.881157e-05  1.503204e-06
9   -0.5    0.1   5.40   0.10     5.426    1.1  0.033966  0.001270  3.396569e+22  1.270132e+21        3.709903e+22  3.709903e+22       0.980631   4.145343e+22    4.328419e+21  3.248475e+18  3.790062e+17  2.092681e-05  1.547623e-06
10  -0.6    0.1   5.12   0.02     5.138    1.2  0.037880  0.000298  3.788016e+22  2.980232e+20        4.126678e+22  4.126678e+22       0.968308   4.114215e+22    4.124323e+21  2.920395e+18  2.918729e+17  2.305241e-05  1.499870e-06
11  -0.7    0.1   4.81   0.02     4.842    1.3  0.042653  0.000359  4.265308e+22  3.594386e+20        4.532746e+22  4.532746e+22       0.805587   3.918117e+22    3.928802e+21  2.658770e+18  2.304514e+17  2.514651e-05  1.457082e-06
12  -0.8    0.1   4.56   0.02     4.582    1.4  0.047631  0.000422  4.763101e+22  4.218572e+20        4.910301e+22  4.910301e+22       0.667085   3.536889e+22    3.548067e+21  2.454336e+18  1.773445e+17  2.716086e-05  1.379815e-06
13  -0.9    0.1   4.32   0.02     4.322    1.5  0.053534  0.000496  5.353410e+22  4.961452e+20        5.240124e+22  5.240124e+22       0.492020   2.965176e+22    2.975208e+21  2.299855e+18  1.305799e+17  2.904302e-05  1.271617e-06
14  -1.0    0.1   4.10   0.02     4.090    1.6  0.059780  0.000580  5.977965e+22  5.803746e+20        5.503336e+22  5.503336e+22       0.410601   2.196788e+22    2.209675e+21  2.189859e+18  8.792624e+16  3.073961e-05  1.141760e-06
15  -1.2    0.1   3.82   0.02     3.880    1.8  0.066426  0.000718  6.642576e+22  7.175793e+20        5.768561e+22  5.768561e+22       0.108311   3.343968e+21    3.433101e+20  2.089174e+18  1.243351e+16  3.338069e-05  9.325467e-07
16  -1.4    0.1   3.65   0.02     3.694    2.0  0.073284  0.000823  7.328350e+22  8.225862e+20        5.637095e+22  5.637095e+22      -0.460833  -1.562259e+22    1.607592e+21  2.137897e+18  6.096875e+16  3.478308e-05  1.001076e-06
17  -1.6    0.1   3.51   0.02     3.534    2.2  0.080069  0.000925  8.006946e+22  9.249934e+20        5.143657e+22  5.143657e+22      -0.890821  -3.071686e+22    3.180289e+21  2.342988e+18  1.448654e+17  3.484759e-05  1.337097e-06
18  -1.8    0.1   3.39   0.02     3.390    2.4  0.087016  0.001027  8.701630e+22  1.026741e+21        4.408420e+22  4.408420e+22      -1.094663  -3.908269e+22    4.066669e+21  2.733752e+18  2.521825e+17  3.369555e-05  1.705354e-06
19  -2.0    0.1   3.30   0.02     3.256    2.6  0.094326  0.001113  9.432595e+22  1.113059e+21        3.580349e+22  3.580349e+22      -1.751890  -3.978135e+22    4.430338e+21  3.366020e+18  4.165127e+17  3.160638e-05  2.047777e-06
20  -2.5    0.1   3.10   0.02     3.134    3.1  0.101813  0.001343  1.018127e+23  1.342687e+21        1.794058e+22  1.794058e+22      -1.893957  -2.800613e+22    3.782888e+21  6.717469e+18  1.416422e+18  2.443006e-05  2.605584e-06
21  -3.0    0.1   2.98   0.02     3.030    3.6  0.108922  0.001512  1.089218e+23  1.511511e+21        7.797366e+21  7.797366e+21      -1.038455  -1.475889e+22    2.154531e+21  1.545590e+19  4.270700e+18  1.735604e-05  2.409955e-06
22  -3.5    0.1   2.90   0.02     2.936    4.1  0.116008  0.001640  1.160080e+23  1.640084e+21        3.181692e+21  3.181692e+21      -0.497849  -6.532388e+21    1.045665e+21  3.787773e+19  1.244854e+19  1.183168e-05  1.949591e-06
23  -4.0    0.1   2.87   0.02     2.876    4.6  0.120899  0.001692  1.208989e+23  1.692054e+21        1.264977e+21  1.264977e+21      -0.285226  -2.683951e+21    5.522279e+20  9.527070e+19  4.159058e+19  7.902157e-06  1.726987e-06
24  -4.5    0.1   2.83   0.02     2.832    5.1  0.124685  0.001765  1.246848e+23  1.764821e+21        4.977404e+20  4.977404e+20      -0.147421  -1.069927e+21    2.813133e+20  2.421248e+20  1.368443e+20  5.219296e-06  1.475810e-06
25  -5.0    0.1   2.80   0.02     2.800    5.6  0.127551  0.001822  1.275510e+23  1.822157e+21        1.950508e+20  1.950508e+20      -0.082180  -4.586569e+20    1.566108e+20  6.178661e+20  4.960989e+20  3.423681e-06  1.374816e-06
26  -6.0    0.1   2.76   0.02     2.770    6.6  0.130329  0.001903  1.303288e+23  1.902535e+21        2.983823e+19  2.983823e+19      -0.032921  -9.524590e+19    6.335424e+19  4.038956e+21  8.575744e+21  1.453730e-06  1.543361e-06
27  -7.0    0.1   2.74   0.02     2.746    7.6  0.132617  0.001945  1.326169e+23  1.944502e+21        4.559016e+18  4.559016e+18      -0.006279  -1.457089e+19    1.229596e+19  2.643449e+22  7.129550e+22  6.097724e-07  8.223072e-07
28  -8.0    0.1   2.72   0.02     2.724    8.6  0.134768  0.001988  1.347677e+23  1.987711e+21        6.964480e+17  6.964480e+17            NaN  -2.226314e+18             NaN  1.730427e+23           NaN  2.535239e-07           NaN
29  -9.0    0.1   2.71   0.02     2.724    9.6  0.134768  0.002010  1.347677e+23  2.009797e+21        1.063883e+17  1.063883e+17            NaN  -3.400982e+17             NaN  1.132787e+24           NaN  1.046907e-07           NaN
30 -10.0    0.1   2.69   0.02     2.724   10.6  0.134768  0.002055  1.347677e+23  2.054959e+21        1.625165e+16  1.625165e+16           -inf  -9.013669e+16             inf  7.415573e+24           inf  4.299590e-08           inf
