      V  V_err    C  C_err      R  R_err      I  I_err  C_mobile  V_abs      1_C2      1_C2_err        1_C2_F    1_C2_err_F  derivative_sigmoid    derivative  derivative2_C  derivative2_V  derivative_err            NB        NB_err         W     W_err
0     1    0.1  632      1   1.29  0.001  1.190  0.010     265.0    1.6  0.000014  7.922801e-09  1.423994e+19  7.922801e+15        3.370358e+17  3.370358e+17            inf   2.382224e+16             inf  6.701038e+18           inf  0.000018       inf
1    10    1.0  204      1   9.90  0.100  0.381  0.001     265.0   10.6  0.000014  2.355806e-07  1.423994e+19  2.355806e+17        5.514360e+17  5.514360e+17            NaN   3.027007e+16             NaN  4.095652e+18           NaN  0.000058       NaN
2    20    1.0  174      1  12.00  1.000  0.325  0.001     265.0   20.6  0.000014  3.796490e-07  1.423994e+19  3.796490e+17        9.257792e+17  9.257792e+17            NaN   4.634485e+16             NaN  2.439556e+18           NaN  0.000105       NaN
3    30    1.0  162      1  14.00  1.000  0.302  0.001     165.8   30.6  0.000036  4.704191e-07  3.637734e+19  4.704191e+17        1.478333e+18  1.478333e+18       0.045786   6.273814e+16    6.633236e+16  1.527727e+18  6.854866e+16  0.000161  0.000004
4    40    1.0  153      1  15.00  1.000  0.285  0.001     143.4   40.6  0.000049  5.584132e-07  4.862971e+19  5.584132e+17        2.180542e+18  2.180542e+18       0.056211   6.928455e+16    7.606315e+16  1.035747e+18  3.612963e+16  0.000225  0.000005
5    50    1.0  136      1  10.00  1.000  0.253  0.001     128.0   50.6  0.000061  7.950845e-07  6.103516e+19  7.950845e+17        2.864024e+18  2.864024e+18       0.038082   5.517591e+16    6.293790e+16  7.885722e+17  1.732914e+16  0.000288  0.000004
6    55    1.0   92      1  17.00  1.000  0.137  0.001     112.6   55.6  0.000079  2.568423e-06  7.887207e+19  2.568423e+18        3.106973e+18  3.106973e+18       0.010097   3.704276e+16    4.521888e+16  7.269101e+17  1.057945e+16  0.000315  0.000004
7    60    1.0   97      1  16.00  1.000  0.181  0.001      99.2   60.6  0.000102  2.191365e-06  1.016194e+20  2.191365e+18        3.234452e+18  3.234452e+18       0.002960   1.188445e+16    1.353901e+16  6.982605e+17  2.922830e+15  0.000335  0.000003
8    65    1.0   85      1  19.00  1.000  0.158  0.001      87.8   65.6  0.000130  3.256666e-06  1.297212e+20  3.256666e+18        3.225817e+18  3.225817e+18      -0.015410  -1.519454e+16    5.243420e+16  7.001295e+17  1.138029e+16  0.000348  0.000004
9    70    1.0   86      1  18.00  1.000  0.161  0.001      85.4   70.6  0.000137  3.144377e-06  1.371148e+20  3.144377e+18        3.082506e+18  3.082506e+18      -0.018497  -3.982687e+16    7.049056e+16  7.326797e+17  1.675487e+16  0.000353  0.000005
10   75    1.0   79      1  19.00  1.000  0.148  0.001      81.0   75.6  0.000152  4.056474e-06  1.524158e+20  4.056474e+18        2.827549e+18  2.827549e+18      -0.024188  -5.843867e+16    1.142011e+17  7.987448e+17  3.226028e+16  0.000350  0.000007
11   80    1.0   80      1  20.00  1.000  0.150  0.001      78.2   80.6  0.000164  3.906250e-06  1.635259e+20  3.906250e+18        2.498120e+18  2.498120e+18      -0.034626  -6.807627e+16    1.514232e+17  9.040759e+17  5.480043e+16  0.000340  0.000011
12   90    1.0   75      1  20.00  1.000  0.141  0.001      74.4   90.6  0.000181  4.740741e-06  1.806567e+20  4.740741e+18        1.773548e+18  1.773548e+18      -0.045039  -6.764657e+16    2.239782e+17  1.273430e+18  1.608193e+17  0.000303  0.000019
13  100    1.0   71      1  22.00  2.000  0.134  0.001      71.8  100.6  0.000194  5.587981e-06  1.939774e+20  5.587981e+18        1.145188e+18  1.145188e+18      -0.046639  -5.420434e+16    2.661952e+17  1.972156e+18  4.584211e+17  0.000257  0.000030
14  120    1.0   67      1  23.00  2.000  0.126  0.002      69.0  120.6  0.000210  6.649754e-06  2.100399e+20  6.649754e+18        4.063670e+17  4.063670e+17      -0.033211  -2.535039e+16    2.222928e+17  5.557759e+18  3.040232e+18  0.000168  0.000046
15  140    1.0   66      1  23.00  2.000  0.124  0.002      67.2  140.6  0.000221  6.956619e-06  2.214427e+20  6.956619e+18        1.311727e+17  1.311727e+17      -0.017369  -9.132997e+15    1.211760e+17  1.721768e+19  1.590552e+19  0.000103  0.000047
16  160    1.0   66      1  23.00  2.000  0.123  0.002      66.2  160.6  0.000228  6.956619e-06  2.281834e+20  6.956619e+18        4.104712e+16  4.104712e+16            NaN  -2.961324e+15             NaN  5.502188e+19           NaN  0.000061       NaN
17  180    1.0   66      1  23.00  2.000  0.124  0.002      66.2  180.6  0.000228  6.956619e-06  2.281834e+20  6.956619e+18        1.271977e+16  1.271977e+16            NaN  -9.279356e+14             NaN  1.775575e+20           NaN  0.000036       NaN
18  200    1.0   66      1  24.00  2.000  0.124  0.002      66.2  200.6  0.000228  6.956619e-06  2.281834e+20  6.956619e+18        3.929693e+15  3.929693e+15           -inf  -4.395037e+14             inf  5.747242e+20           inf  0.000021       inf
