#
#
# Anoise (pWb), Asign (pWb), Ampl (mV), Attenuazione

Anoise,Anoise_err,Asign,Asign_err,Ampl_diode,Ampl_diode_err,Attenuation
-187.24, 11.06, -199.37, 10.80, 78, 3, 48
-183.79, 10.72, -192.18, 10.61, 58.026, 3.291, 48.1
-188.09, 11.02, -195.73, 11.24, 56.005, 2.888, 48.2
-189.60, 10.72, -196.36, 10.68, 47.636, 3.026, 48.3
#-188.33, 11.40, -195.19, 20.80, 48.121, 3.401, 48.4
#-186.51, 10.76, -193.42, 11.04, 48.517, 3.392, 48.5
#-188.25, 10.87, -194.68, 11.32, 46.933, 3.414, 48.6
#-189.31, 11.31, -189.84, 10.80, 17.751, 1.724, 48.7
#-188.86, 10.48, -189.37, 11.02, 14.512, 1.508, 48.8
-187.25, 11.36, -188.41, 11.32, 11.366, 1.108, 48.9
-190.45, 11.06, -189.75, 10.68, 9.0812, 0.859, 49.0
-188.34, 10.93, -187.72, 10.57, 7.9909, 0.7718, 49.1
-185.87, 10.82, -184.27, 11.23, 6.8996, 0.6612, 49.2
-186.25, 11.13, -185.36, 11.50, 6.5518, 0.6789, 49.3
-184.21, 11.02, -182.60, 10.88, 5.9008, 0.6031, 49.4
-186.00, 10.81, -184.32, 10.46, 5.5022, 0.5604, 49.5
-185.67, 10.75, -184.14, 10.89, 5.3222, 0.5600, 49.6
-187.73, 11.24, -186.12, 10.32, 5.1136, 0.5032, 49.7
-184.22, 11.19, -182.28, 10.69, 5.0025, 0.4785, 49.8
-186.13, 10.85, -184.62, 10.73, 4.9026, 0.4811, 49.9
-188.95, 10.97, -187.28, 10.36, 4.7702, 0.4328, 50.0

-180.00, 11.27, -185.5, 11.67, 41.997, 2.652, 48.4
-191.85, 10.51, -195.01, 11.10, 32.165, 2.439, 48.5
-190.44, 10.75, -192.70, 10.41, 25.977, 2.195, 48.6
-187.20, 10.78, -189.16, 10.85, 19.941, 1.795, 48.7
-191.07, 10.54, -191.90, 11.02, 15.775, 1.374, 48.8
