,Anoise,Anoise_err,Asign,Asign_err,Ampl_diode,Ampl_diode_err,Attenuation,difference
0,-187.24,11.06,-199.37,10.8,78.0,3.0,48.0,12.129999999999995
1,-183.79,10.72,-192.18,10.61,58.026,3.291,48.1,8.390000000000015
2,-188.09,11.02,-195.73,11.24,56.005,2.888,48.2,7.639999999999986
3,-189.6,10.72,-196.36,10.68,47.636,3.026,48.3,6.760000000000019
4,-188.33,11.4,-195.19,20.8,48.121,3.401,48.4,6.859999999999985
5,-187.25,11.36,-188.41,11.32,11.366,1.108,48.9,1.1599999999999966
6,-190.45,11.06,-189.75,10.68,9.0812,0.859,49.0,-0.6999999999999886
7,-188.34,10.93,-187.72,10.57,7.9909,0.7718,49.1,-0.6200000000000045
8,-185.87,10.82,-184.27,11.23,6.8996,0.6612,49.2,-1.5999999999999943
9,-186.25,11.13,-185.36,11.5,6.5518,0.6789,49.3,-0.8899999999999864
10,-184.21,11.02,-182.6,10.88,5.9008,0.6031,49.4,-1.6100000000000136
11,-186.0,10.81,-184.32,10.46,5.5022,0.5604,49.5,-1.6800000000000068
12,-185.67,10.75,-184.14,10.89,5.3222,0.56,49.6,-1.5300000000000011
13,-187.73,11.24,-186.12,10.32,5.1136,0.5032,49.7,-1.6099999999999852
14,-184.22,11.19,-182.28,10.69,5.0025,0.4785,49.8,-1.9399999999999977
15,-186.13,10.85,-184.62,10.73,4.9026,0.4811,49.9,-1.509999999999991
16,-188.95,10.97,-187.28,10.36,4.7702,0.4328,50.0,-1.6699999999999875
17,-191.85,10.51,-195.01,11.1,32.165,2.439,48.5,3.1599999999999966
18,-190.44,10.75,-192.7,10.41,25.977,2.195,48.6,2.259999999999991
19,-187.2,10.78,-189.16,10.85,19.941,1.795,48.7,1.960000000000008
20,-191.07,10.54,-191.9,11.02,15.775,1.374,48.8,0.8300000000000125
